Loaded 540 test conversations
[1/540] amazonhelp_000262... -> OTHER
[2/540] amazonhelp_000498... -> DELIVERY_LATE
[3/540] amazonhelp_000809... -> ORDER_STATUS
[4/540] amazonhelp_001249... -> ORDER_STATUS
[5/540] amazonhelp_001339... -> ORDER_MODIFY
[6/540] amazonhelp_001776... -> DELIVERY_MISSING
[7/540] amazonhelp_001869... -> DELIVERY_LATE
[8/540] amazonhelp_001942... -> APP_USAGE
[9/540] amazonhelp_002466... -> VIDEO_STREAMING
[10/540] amazonhelp_002649... -> ORDER_STATUS
[11/540] amazonhelp_002874... -> ORDER_MODIFY
[12/540] amazonhelp_003475... -> ORDER_STATUS
[13/540] amazonhelp_003943... -> REFUND_REQUEST
[14/540] amazonhelp_004189... -> ACCOUNT_ACCESS
[15/540] amazonhelp_004381... -> ORDER_MODIFY
[16/540] amazonhelp_004528... -> ORDER_STATUS
[17/540] amazonhelp_004681... -> DELIVERY_MISSING
[18/540] amazonhelp_004741... -> ORDER_STATUS
[19/540] amazonhelp_004866... -> APP_USAGE
[20/540] amazonhelp_005231... -> PAYMENT_ISSUE
[21/540] amazonhelp_005672... -> VIDEO_STREAMING
[22/540] amazonhelp_005845... -> ORDER_STATUS
[23/540] amazonhelp_005946... -> DELIVERY_LATE
[24/540] amazonhelp_006083... -> DEVICE_ISSUE
[25/540] amazonhelp_006294... -> ORDER_STATUS
[26/540] amazonhelp_006576... -> ORDER_STATUS
[27/540] amazonhelp_006947... -> ORDER_MODIFY
[28/540] amazonhelp_008145... -> REFUND_REQUEST
[29/540] amazonhelp_008162... -> ORDER_MODIFY
[30/540] amazonhelp_008577... -> DELIVERY_LATE
[31/540] amazonhelp_008808... -> ORDER_STATUS
[32/540] amazonhelp_008875... -> DELIVERY_MISSING
[33/540] amazonhelp_009295... -> ORDER_STATUS
[34/540] amazonhelp_009481... -> PRODUCT_ISSUE
[35/540] amazonhelp_009613... -> ORDER_STATUS
[36/540] amazonhelp_009732... -> ORDER_STATUS
[37/540] amazonhelp_009899... -> DELIVERY_LATE
[38/540] amazonhelp_009945... -> DELIVERY_LATE
[39/540] amazonhelp_011131... -> ORDER_STATUS
[40/540] amazonhelp_011526... -> ORDER_STATUS
[41/540] amazonhelp_011612... -> ORDER_STATUS
[42/540] amazonhelp_011725... -> ORDER_MODIFY
[43/540] amazonhelp_012023... -> ORDER_MODIFY
[44/540] amazonhelp_012274... -> ORDER_MODIFY
[45/540] amazonhelp_012443... -> APP_USAGE
[46/540] amazonhelp_012704... -> APP_USAGE
[47/540] amazonhelp_012880... -> ACCOUNT_ACCESS
[48/540] amazonhelp_013211... -> ORDER_STATUS
[49/540] amazonhelp_013260... -> PAYMENT_ISSUE
[50/540] amazonhelp_013732... -> ORDER_STATUS
[51/540] amazonhelp_013836... -> ORDER_MODIFY
[52/540] amazonhelp_013959... -> ACCOUNT_ACCESS
[53/540] amazonhelp_013978... -> ORDER_MODIFY
[54/540] amazonhelp_014046... -> ORDER_MODIFY
[55/540] amazonhelp_014079... -> DELIVERY_MISSING
[56/540] amazonhelp_014605... -> ORDER_MODIFY
[57/540] amazonhelp_014980... -> ORDER_STATUS
[58/540] amazonhelp_015110... -> ORDER_MODIFY
[59/540] amazonhelp_015165... -> ORDER_STATUS
[60/540] amazonhelp_015607... -> DELIVERY_LATE

--- Pause at 60 ---
[61/540] amazonhelp_015635... -> DELIVERY_LATE
[62/540] amazonhelp_015713... -> ORDER_STATUS
[63/540] amazonhelp_016267... -> DEVICE_ISSUE
[64/540] amazonhelp_016454... -> APP_USAGE
[65/540] amazonhelp_016791... -> ORDER_STATUS
[66/540] amazonhelp_017610... -> ORDER_MODIFY
[67/540] amazonhelp_017768... -> PRODUCT_ISSUE
[68/540] amazonhelp_018509... -> DELIVERY_LATE
[69/540] amazonhelp_018635... -> DELIVERY_LATE
[70/540] amazonhelp_018644... -> DELIVERY_LATE
[71/540] amazonhelp_018735... -> PRODUCT_ISSUE
[72/540] amazonhelp_018983... -> ORDER_MODIFY
[73/540] amazonhelp_019187... -> PRODUCT_ISSUE
[74/540] amazonhelp_019309... -> ORDER_STATUS
[75/540] amazonhelp_019777... -> PAYMENT_ISSUE
[76/540] amazonhelp_019975... -> ORDER_STATUS
[77/540] amazonhelp_020276... -> DELIVERY_LATE
[78/540] amazonhelp_020407... -> ORDER_MODIFY
[79/540] amazonhelp_020449... -> ORDER_STATUS
[80/540] amazonhelp_020467... -> ORDER_MODIFY
[81/540] amazonhelp_020579... -> PRODUCT_ISSUE
[82/540] amazonhelp_020721... -> ORDER_MODIFY
[83/540] amazonhelp_020790... -> PRODUCT_ISSUE
[84/540] amazonhelp_020860... -> ORDER_STATUS
[85/540] amazonhelp_021017... -> APP_USAGE
[86/540] amazonhelp_021383... -> ORDER_STATUS
[87/540] amazonhelp_022470... -> ORDER_STATUS
[88/540] amazonhelp_022549... -> ORDER_STATUS
[89/540] amazonhelp_023035... -> ORDER_MODIFY
[90/540] amazonhelp_023630... -> DELIVERY_LATE
[91/540] amazonhelp_023637... -> ORDER_STATUS
[92/540] amazonhelp_023905... -> RETURN_REQUEST
[93/540] amazonhelp_025087... -> ORDER_STATUS
[94/540] amazonhelp_025260... -> ORDER_STATUS
[95/540] amazonhelp_025261... -> DELIVERY_LATE
[96/540] amazonhelp_025441... -> APP_USAGE
[97/540] amazonhelp_025871... -> REFUND_REQUEST
[98/540] amazonhelp_025935... -> REFUND_REQUEST
[99/540] amazonhelp_026025... -> PRODUCT_ISSUE
[100/540] amazonhelp_026813... -> DELIVERY_MISSING
[101/540] amazonhelp_027028... -> OTHER
[102/540] amazonhelp_027914... -> ORDER_MODIFY
[103/540] amazonhelp_027936... -> ORDER_STATUS
[104/540] amazonhelp_028952... -> OTHER
[105/540] amazonhelp_029127... -> ORDER_STATUS
